PZN;ENR;Bearbeitungsnummer;Referenzierte Erstmeldung;Meldungsart;Beginn;Ende;Datum der letzten Meldung;Art des Grundes;Arzneimittlbezeichnung;Atc Code;Wirkstoffe;Krankenhausrelevant;Zulassungsinhaber;Telefon;E-Mail;Grund;Anm. zum Grund;Alternativpräparat;Datum der Erstmeldung;Info an Fachkreise;Darreichungsform;klassifikation
06934809;2152007;LE2026001653;LE2025003302;Änderungsmeldung;01.07.2025;31.05.2026;30.04.2026;Sonstige;CIPRO BASICS 750 mg Filmtabletten;J01MA02;Ciprofloxacinhydrochlorid-Monohydrat;nein;Basics GmbH;N/A;Dominik.Lucke@sunpharma.com;Unzureichende Produktionskapazitäten;N/A;N/A;18.09.2025;Nein;Filmtablette;versrel
06934815;2152007;LE2026001653;LE2025003302;Änderungsmeldung;01.07.2025;31.05.2026;30.04.2026;Sonstige;CIPRO BASICS 750 mg Filmtabletten;J01MA02;Ciprofloxacinhydrochlorid-Monohydrat;nein;Basics GmbH;N/A;Dominik.Lucke@sunpharma.com;Unzureichende Produktionskapazitäten;N/A;N/A;18.09.2025;Nein;Filmtablette;versrel
02709122;2153742;LE2026001652;LE2025003301;Änderungsmeldung;01.07.2025;31.05.2026;30.04.2026;Sonstige;CIPRO BASICS 250 mg Filmtabletten;J01MA02;Ciprofloxacinhydrochlorid-Monohydrat;nein;Basics GmbH;N/A;Dominik.Lucke@sunpharma.com;Unzureichende Produktionskapazitäten;Die PZN 08440187 & 02709122 sind erst seit dem 12.02.2026 lieferunfähig.;N/A;18.09.2025;Nein;Filmtablette;versrel
08440170;2153742;LE2026001652;LE2025003301;Änderungsmeldung;01.07.2025;31.05.2026;30.04.2026;Sonstige;CIPRO BASICS 250 mg Filmtabletten;J01MA02;Ciprofloxacinhydrochlorid-Monohydrat;nein;Basics GmbH;N/A;Dominik.Lucke@sunpharma.com;Unzureichende Produktionskapazitäten;Die PZN 08440187 & 02709122 sind erst seit dem 12.02.2026 lieferunfähig.;N/A;18.09.2025;Nein;Filmtablette;versrel
08440187;2153742;LE2026001652;LE2025003301;Änderungsmeldung;01.07.2025;31.05.2026;30.04.2026;Sonstige;CIPRO BASICS 250 mg Filmtabletten;J01MA02;Ciprofloxacinhydrochlorid-Monohydrat;nein;Basics GmbH;N/A;Dominik.Lucke@sunpharma.com;Unzureichende Produktionskapazitäten;Die PZN 08440187 & 02709122 sind erst seit dem 12.02.2026 lieferunfähig.;N/A;18.09.2025;Nein;Filmtablette;versrel
13828060;2194360;LE2026001651;LE2025003120;Änderungsmeldung;01.09.2025;31.05.2026;30.04.2026;Produktionsproblem;EZETIMIB/SIMVA BASICS 10 mg/10 mg Tabletten;C10BA02;"Ezetimib; Simvastatin";nein;Basics GmbH;0214403990;dominik.lucke@sunpharma.com;Probleme in der Herstellung;N/A;N/A;02.09.2025;Nein;Tablette;weder versrel noch verskri
13828108;2194361;LE2026001650;LE2025003121;Änderungsmeldung;01.09.2025;31.05.2026;30.04.2026;Produktionsproblem;EZETIMIB/SIMVA BASICS 10 mg/20 mg Tabletten;C10BA02;"Ezetimib; Simvastatin";nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme in der Herstellung;N/A;N/A;02.09.2025;Nein;Tablette;weder versrel noch verskri
13828137;2194362;LE2026001649;LE2025003122;Änderungsmeldung;01.09.2025;31.05.2026;30.04.2026;Produktionsproblem;EZETIMIB/SIMVA BASICS 10 mg/40 mg Tabletten;C10BA02;"Ezetimib; Simvastatin";nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme in der Herstellung;N/A;N/A;02.09.2025;Nein;Tablette;weder versrel noch verskri
13828143;2194362;LE2026001649;LE2025003122;Änderungsmeldung;01.09.2025;31.05.2026;30.04.2026;Produktionsproblem;EZETIMIB/SIMVA BASICS 10 mg/40 mg Tabletten;C10BA02;"Ezetimib; Simvastatin";nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme in der Herstellung;N/A;N/A;02.09.2025;Nein;Tablette;weder versrel noch verskri
13828031;2194363;LE2026001648;LE2025003123;Änderungsmeldung;01.09.2025;31.05.2026;30.04.2026;Produktionsproblem;EZETIMIB/SIMVA BASICS 10 mg/80 mg Tabletten;C10BA02;"Ezetimib; Simvastatin";nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme in der Herstellung;N/A;N/A;02.09.2025;Nein;Tablette;weder versrel noch verskri
00165250;2136974;LE2026001647;N/A;Erstmeldung;24.04.2026;31.05.2026;30.04.2026;Sonstige;SODERM Creme;D07AC01;Betamethasonvalerat (Ph.Eur.);ja;Dermapharm Aktiengesellschaft;089641860;service@dermapharm.de;Unzureichende Produktionskapazitäten;N/A;SODERM Creme - Einreichungsnummer: 2136974;30.04.2026;Nein;Creme;versrel
03078652;2105541;LE2026001646;LE2026000139;Änderungsmeldung;17.12.2025;15.06.2026;30.04.2026;Produktionsproblem;Clonistada 0,3 mg Tabletten;C02AC01;Clonidinhydrochlorid;nein;STADAPHARM GmbH;061016032416;christiane.georgi@stada.de;Probleme in der Herstellung;N/A;N/A;13.01.2026;Vorgesehen;Tablette;versrel
17205367;2202947;LE2026001645;LE2025001771;Änderungsmeldung;19.05.2025;11.06.2026;30.04.2026;Produktionsproblem;Arsentrioxid STADA 1 mg/ml Konzentrat zur Herstellung einer Infusionslösung;L01XX27;Arsen(III)-oxid;nein;STADAPHARM GmbH;061016032416;christiane.georgi@stada.de;Probleme in der Herstellung;N/A;N/A;23.05.2025;Vorgesehen;Konzentrat zur Herstellung einer Infusionslösung;weder versrel noch verskri
18354572;7004377;LE2026001643;LE2025002783;Änderungsmeldung;06.08.2025;19.06.2026;30.04.2026;Sonstige;Fluoxetin Micro Labs 60 mg Hartkapseln;N06AB03;Fluoxetinhydrochlorid;ja;Micro Labs GmbH;N/A;ausschreibungen@microlabsgmbh.de;Erhöhte Nachfrage;N/A;N/A;06.08.2025;Nein;Hartkapsel;versrel
18354589;7004377;LE2026001643;LE2025002783;Änderungsmeldung;06.08.2025;19.06.2026;30.04.2026;Sonstige;Fluoxetin Micro Labs 60 mg Hartkapseln;N06AB03;Fluoxetinhydrochlorid;ja;Micro Labs GmbH;N/A;ausschreibungen@microlabsgmbh.de;Erhöhte Nachfrage;N/A;N/A;06.08.2025;Nein;Hartkapsel;versrel
09745322;2192822;LE2026001637;LE2025000338;Änderungsmeldung;01.01.2025;02.06.2026;30.04.2026;Sonstige;Quetiapin AL 300 mg Retardtabletten;N05AH04;Quetiapinfumarat (Ph.Eur.);nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;29.01.2025;Vorgesehen;Retardtablette;weder versrel noch verskri
09745345;2192822;LE2026001637;LE2025000338;Änderungsmeldung;01.01.2025;02.06.2026;30.04.2026;Sonstige;Quetiapin AL 300 mg Retardtabletten;N05AH04;Quetiapinfumarat (Ph.Eur.);nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;29.01.2025;Vorgesehen;Retardtablette;weder versrel noch verskri
09745351;2192822;LE2026001637;LE2025000338;Änderungsmeldung;01.01.2025;02.06.2026;30.04.2026;Sonstige;Quetiapin AL 300 mg Retardtabletten;N05AH04;Quetiapinfumarat (Ph.Eur.);nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;29.01.2025;Vorgesehen;Retardtablette;weder versrel noch verskri
11240776;2192820;LE2026001636;LE2025000334;Änderungsmeldung;01.01.2025;01.07.2026;30.04.2026;Sonstige;Quetiapin AL 150 mg Retardtabletten;N05AH04;Quetiapinfumarat (Ph.Eur.);nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;29.01.2025;Vorgesehen;Retardtablette;weder versrel noch verskri
11240799;2192820;LE2026001636;LE2025000334;Änderungsmeldung;01.01.2025;01.07.2026;30.04.2026;Sonstige;Quetiapin AL 150 mg Retardtabletten;N05AH04;Quetiapinfumarat (Ph.Eur.);nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;29.01.2025;Vorgesehen;Retardtablette;weder versrel noch verskri
07577926;2131179;LE2026001635;LE2025004143;Änderungsmeldung;20.11.2025;30.09.2026;29.04.2026;Produktionsproblem;Mivacron 20mg;M03AC10;Mivacuriumchlorid;ja;Aspen Pharma Trading Limited;N/A;de_quality@aspenpharma.eu;Probleme in der Herstellung;N/A;N/A;24.11.2025;Nein;Flüssige Verdünnung zur Injektion;weder versrel noch verskri
07577903;2131178;LE2026001634;LE2026001411;Änderungsmeldung;09.04.2026;31.08.2026;29.04.2026;Produktionsproblem;Mivacron 10mg;M03AC10;Mivacuriumchlorid;ja;Aspen Pharma Trading Limited;N/A;de_quality@aspenpharma.eu;Probleme in der Herstellung;N/A;N/A;13.04.2026;Nein;Injektionslösung;weder versrel noch verskri
01138060;0077215;LE2026001633;LE2025002407;Änderungsmeldung;25.11.2025;01.06.2026;29.04.2026;Sonstige;Xylocain Gel 2%;N01BB02;Lidocainhydrochlorid-Monohydrat;ja;Aspen Pharma Trading Limited;N/A;de_quality@aspenpharma.eu;Unzureichende Produktionskapazitäten;N/A;N/A;09.07.2025;Nein;Gel;weder versrel noch verskri
19095581;0077215;LE2026001633;LE2025002407;Änderungsmeldung;25.11.2025;01.06.2026;29.04.2026;Sonstige;Xylocain Gel 2%;N01BB02;Lidocainhydrochlorid-Monohydrat;ja;Aspen Pharma Trading Limited;N/A;de_quality@aspenpharma.eu;Unzureichende Produktionskapazitäten;N/A;N/A;09.07.2025;Nein;Gel;weder versrel noch verskri
14292615;2714566;LE2026001632;LE2026001630;Änderungsmeldung;01.05.2026;30.06.2026;29.04.2026;Sonstige;Ziextenzo;L03AA13;Pegfilgrastim;ja;Sandoz GmbH;N/A;service@hexal.com;Erhöhte Nachfrage;Gestattung gemäß §§ 10 Absatz 1a und 11 Absatz 1c Arzneimittelgesetz für ZIEXTENZO 6MGFER ES (PZN 20687252) infolge eines drohenden oder bestehenden VersorgungsengpassesDas spanische Arzneimittel ist unter der PZN 20687252 und unter dem Produktnamen ZIEXTENZO 6 mgInj.Lsg.Fertigspr.m.a.Nad. Spanien bzw. der Produktbezeichnung ZIEXTENZO 6MG FER ES in derLauer-Taxe aufgeführt und kann über den normalen Vertriebswegs (Großhandel/Apotheken)bezogen werden;N/A;29.04.2026;Ja;Injektionslösung;weder versrel noch verskri
03286818;0403896;LE2026001629;N/A;Erstmeldung;26.11.2025;29.05.2026;29.04.2026;Sonstige;Triamhexal 40;H02AB08;Triamcinolonacetonid;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Unzureichende Produktionskapazitäten;N/A;N/A;29.04.2026;Vorgesehen;Injektionssuspension;versrel
03287048;0403896;LE2026001629;N/A;Erstmeldung;26.11.2025;29.05.2026;29.04.2026;Sonstige;Triamhexal 40;H02AB08;Triamcinolonacetonid;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Unzureichende Produktionskapazitäten;N/A;N/A;29.04.2026;Vorgesehen;Injektionssuspension;versrel
03294812;0403896;LE2026001629;N/A;Erstmeldung;26.11.2025;29.05.2026;29.04.2026;Sonstige;Triamhexal 40;H02AB08;Triamcinolonacetonid;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Unzureichende Produktionskapazitäten;N/A;N/A;29.04.2026;Vorgesehen;Injektionssuspension;versrel
03294829;0403896;LE2026001629;N/A;Erstmeldung;26.11.2025;29.05.2026;29.04.2026;Sonstige;Triamhexal 40;H02AB08;Triamcinolonacetonid;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Unzureichende Produktionskapazitäten;N/A;N/A;29.04.2026;Vorgesehen;Injektionssuspension;versrel
03911469;0403896;LE2026001629;N/A;Erstmeldung;26.11.2025;29.05.2026;29.04.2026;Sonstige;Triamhexal 40;H02AB08;Triamcinolonacetonid;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Unzureichende Produktionskapazitäten;N/A;N/A;29.04.2026;Vorgesehen;Injektionssuspension;versrel
06155896;0403896;LE2026001629;N/A;Erstmeldung;26.11.2025;29.05.2026;29.04.2026;Sonstige;Triamhexal 40;H02AB08;Triamcinolonacetonid;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Unzureichende Produktionskapazitäten;N/A;N/A;29.04.2026;Vorgesehen;Injektionssuspension;versrel
03286793;0403867;LE2026001628;N/A;Erstmeldung;24.11.2025;29.05.2026;29.04.2026;Sonstige;Triamhexal 10;H02AB08;Triamcinolonacetonid;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Unzureichende Produktionskapazitäten;N/A;N/A;29.04.2026;Vorgesehen;Injektionssuspension;versrel
03286801;0403867;LE2026001628;N/A;Erstmeldung;24.11.2025;29.05.2026;29.04.2026;Sonstige;Triamhexal 10;H02AB08;Triamcinolonacetonid;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Unzureichende Produktionskapazitäten;N/A;N/A;29.04.2026;Vorgesehen;Injektionssuspension;versrel
03294798;0403867;LE2026001628;N/A;Erstmeldung;24.11.2025;29.05.2026;29.04.2026;Sonstige;Triamhexal 10;H02AB08;Triamcinolonacetonid;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Unzureichende Produktionskapazitäten;N/A;N/A;29.04.2026;Vorgesehen;Injektionssuspension;versrel
03294806;0403867;LE2026001628;N/A;Erstmeldung;24.11.2025;29.05.2026;29.04.2026;Sonstige;Triamhexal 10;H02AB08;Triamcinolonacetonid;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Unzureichende Produktionskapazitäten;N/A;N/A;29.04.2026;Vorgesehen;Injektionssuspension;versrel
03911452;0403867;LE2026001628;N/A;Erstmeldung;24.11.2025;29.05.2026;29.04.2026;Sonstige;Triamhexal 10;H02AB08;Triamcinolonacetonid;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Unzureichende Produktionskapazitäten;N/A;N/A;29.04.2026;Vorgesehen;Injektionssuspension;versrel
06155873;0403867;LE2026001628;N/A;Erstmeldung;24.11.2025;29.05.2026;29.04.2026;Sonstige;Triamhexal 10;H02AB08;Triamcinolonacetonid;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Unzureichende Produktionskapazitäten;N/A;N/A;29.04.2026;Vorgesehen;Injektionssuspension;versrel
03669525;0729712;LE2026001627;N/A;Erstmeldung;29.04.2026;03.07.2026;29.04.2026;Sonstige;Natriumphosphat BRAUN;B05XA09;"Natriumdihydrogenphosphat-Dihydrat; Natriummonohydrogenphosphat-Dodecahydrat (Ph.Eur.)";ja;B. Braun Melsungen Aktiengesellschaft;0566191477309;benjamin.strippel@bbraun.com;Probleme beim Sonstigen Hersteller;N/A;N/A;29.04.2026;Vorgesehen;Konzentrat zur Herstellung einer Infusionslösung;weder versrel noch verskri
00748098;0008875;LE2026001626;N/A;Erstmeldung;29.04.2026;31.07.2026;29.04.2026;Produktionsproblem;Neosynephrin-POS 5%;S01FB01;Phenylephrinhydrochlorid;nein;URSAPHARM Arzneimittel GmbH;068059292188;christine.funk@ursapharm.de;Probleme in der Herstellung;N/A;N/A;29.04.2026;Vorgesehen;Augentropfen;versrel
07373307;2705750;LE2026001625;N/A;Erstmeldung;06.06.2026;07.07.2026;29.04.2026;Produktionsproblem;ZYPADHERA 300 mg Pulver und Lösungsmittel zur Herstellung einer Depot-Injektionssuspension - OP(690mg+3ml);N05AH03;Olanzapinembonat-Monohydrat;ja;Cheplapharm Registration GmbH;01601537174;mallikarjun.sunkara@cheplapharm-reg.com;Probleme in der Herstellung;delay in product release;ZYPADHERA 210 mg Pulver und Lösungsmittel zur Herstellung einer Depot-Injektionssuspension - OP(483mg+3ml) - Einreichungsnummer: 2705749;29.04.2026;Vorgesehen;Pulver,Lösungsmittel;weder versrel noch verskri
07464056;0139608;LE2026001624;LE2026001455;Änderungsmeldung;14.04.2026;04.09.2026;29.04.2026;Sonstige;Levomepromazin-neuraxpharm 25 mg/ml Injektionslösung;N05AA02;Levomepromazinhydrochlorid;ja;neuraxpharm Arzneimittel GmbH;021731060127;D.Koecher@neuraxpharm.de;Erhöhte Nachfrage;N/A;N/A;16.04.2026;Nein;Injektionslösung;weder versrel noch verskri
00577478;2152571;LE2026001623;LE2025001473;Änderungsmeldung;30.04.2025;30.06.2026;29.04.2026;Produktionsproblem;Flupentixol-neuraxpharm 40 mg/ml;N05AF01;Flupentixoldecanoat;nein;neuraxpharm Arzneimittel GmbH;0217310600;info@neuraxpharm.de;Herstellerwechsel;N/A;N/A;02.05.2025;Nein;Injektionslösung;weder versrel noch verskri
04178864;2152570;LE2026001622;LE2025001472;Änderungsmeldung;30.04.2025;30.06.2026;29.04.2026;Produktionsproblem;Flupentixol-neuraxpharm 20 mg/ml;N05AF01;Flupentixoldecanoat;nein;neuraxpharm Arzneimittel GmbH;0217310600;info@neuraxpharm.de;Herstellerwechsel;N/A;N/A;02.05.2025;Nein;Injektionslösung;weder versrel noch verskri
04178924;2152572;LE2026001621;LE2025001474;Änderungsmeldung;30.04.2025;30.06.2026;29.04.2026;Produktionsproblem;Flupentixol-neuraxpharm 100 mg/ml;N05AF01;Flupentixoldecanoat;nein;neuraxpharm Arzneimittel GmbH;0217310600;info@neuraxpharm.de;Herstellerwechsel;N/A;N/A;02.05.2025;Nein;Injektionslösung;weder versrel noch verskri
05116859;2164876;LE2026001618;LE2026001186;Änderungsmeldung;07.04.2026;08.05.2026;29.04.2026;Produktionsproblem;Protaminsulfat LEO Pharma 1400 Heparin-Antidot I.E./ml Injektionslösung und Infusionslösung;V03AB14;Protaminsulfat ((mit Angaben zur Herstellung und zum Schwefelsäure-Gehalt));ja;Leo Pharma A/S HR-Beiname: Leo Pharmaceutical Products Ltd. A/S;N/A;"mageo@leo-pharma.com; NAZIN@leo-pharma.com";Sonstige;Aktuell 3.135 Packungen beim Logistikdienstleister vorhanden.Next shipment expected in CW19/20;N/A;25.03.2026;Nein;Injektions-/Infusionslösung;verskri (auch versrel)
00672662;2169677;LE2026001616;LE2025004155;Änderungsmeldung;25.09.2025;30.04.2026;28.04.2026;Sonstige;Alprazolam - 1 A Pharma 0,5 mg Tabletten;N05BA12;Alprazolam;nein;1 A Pharma GmbH;N/A;info@1apharma.com;Erhöhte Nachfrage;N/A;N/A;25.11.2025;Vorgesehen;Tablette;weder versrel noch verskri
00679115;2169677;LE2026001616;LE2025004155;Änderungsmeldung;25.09.2025;30.04.2026;28.04.2026;Sonstige;Alprazolam - 1 A Pharma 0,5 mg Tabletten;N05BA12;Alprazolam;nein;1 A Pharma GmbH;N/A;info@1apharma.com;Erhöhte Nachfrage;N/A;N/A;25.11.2025;Vorgesehen;Tablette;weder versrel noch verskri
02100125;2169677;LE2026001616;LE2025004155;Änderungsmeldung;25.09.2025;30.04.2026;28.04.2026;Sonstige;Alprazolam - 1 A Pharma 0,5 mg Tabletten;N05BA12;Alprazolam;nein;1 A Pharma GmbH;N/A;info@1apharma.com;Erhöhte Nachfrage;N/A;N/A;25.11.2025;Vorgesehen;Tablette;weder versrel noch verskri
00679138;2169678;LE2026001614;LE2026000915;Änderungsmeldung;06.02.2026;08.05.2026;28.04.2026;Sonstige;Alprazolam - 1 A Pharma 1 mg Tabletten;N05BA12;Alprazolam;nein;1 A Pharma GmbH;N/A;info@1apharma.com;Sonstige;N/A;N/A;09.03.2026;Vorgesehen;Tablette;weder versrel noch verskri
17560499;2205277;LE2026001611;N/A;Erstmeldung;11.02.2026;30.06.2026;28.04.2026;Sonstige;Abirateron HEXAL 500 mg Filmtabletten;L02BX03;Abirateronacetat;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Sonstige;N/A;N/A;28.04.2026;Nein;Filmtablette;versrel
17560536;7000245;LE2026001610;LE2026000916;Änderungsmeldung;21.01.2026;30.06.2026;28.04.2026;Sonstige;Abirateron HEXAL 1000 mg Filmtabletten;L02BX03;Abirateronacetat;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Erhöhte Nachfrage;N/A;Abirateron HEXAL 1000 mg Filmtabletten - Einreichungsnummer: 7000245;09.03.2026;Vorgesehen;Filmtablette;versrel
17560571;7000245;LE2026001610;LE2026000916;Änderungsmeldung;21.01.2026;30.06.2026;28.04.2026;Sonstige;Abirateron HEXAL 1000 mg Filmtabletten;L02BX03;Abirateronacetat;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Erhöhte Nachfrage;N/A;Abirateron HEXAL 1000 mg Filmtabletten - Einreichungsnummer: 7000245;09.03.2026;Vorgesehen;Filmtablette;versrel
17560588;7000245;LE2026001610;LE2026000916;Änderungsmeldung;21.01.2026;30.06.2026;28.04.2026;Sonstige;Abirateron HEXAL 1000 mg Filmtabletten;L02BX03;Abirateronacetat;nein;H e x a l  Aktiengesellschaft;N/A;service@hexal.com;Erhöhte Nachfrage;N/A;Abirateron HEXAL 1000 mg Filmtabletten - Einreichungsnummer: 7000245;09.03.2026;Vorgesehen;Filmtablette;versrel
03075375;0385744;LE2026001609;LE2025001561;Änderungsmeldung;06.05.2025;30.05.2026;28.04.2026;Sonstige;Ferrlecit 62,5 mg;B03AC;Eisen(III)-natrium-D-gluconat-hydroxid-oxid-Komplex (ca. 2:1:1:x:y);ja;Sanofi-Aventis Deutschland GmbH;08005252010;medinfo.de@sanofi.com;Probleme beim Wirkstoffhersteller;"Eingeschränkt verfügbar. Mögliche Alternativpräparate können der Onkopedia Leitlinie ""Eisenmangel und Eisenmangelanämie"" entnommen werden.";N/A;06.05.2025;Nein;Injektionslösung;weder versrel noch verskri
03075346;1441686;LE2026001608;LE2025001179;Änderungsmeldung;04.04.2025;30.05.2026;28.04.2026;Sonstige;Ferrlecit 40 mg;B03AC;Eisen(III)-natrium-D-gluconat-hydroxid-oxid-Komplex (ca. 2:1:1:x:y);ja;Sanofi-Aventis Deutschland GmbH;08005252010;medinfo.de@sanofi.com;Probleme beim Wirkstoffhersteller;"Eingeschränkt lieferfähig.Mögliche Alternativpräparate können der Onkopedia Leitlinie ""Eisenmangel und Eisenmangelanämie"" entnommen werden.";N/A;04.04.2025;Nein;Injektionslösung;weder versrel noch verskri
04172815;2170561;LE2026001607;LE2026000707;Änderungsmeldung;18.02.2026;30.09.2026;28.04.2026;Sonstige;Seroquel Prolong 50 mg Retardtabletten;N05AH04;Quetiapinfumarat (Ph.Eur.);nein;Cheplapharm Arzneimittel GmbH;+49 3834 451-0;RA-Seroquel@cheplapharm.com;Erhöhte Nachfrage;Generics out of stock;N/A;24.02.2026;Nein;Retardtablette;weder versrel noch verskri
